value,time,bytes,gctime,gcstats  
unknown,296.861721016,854403376760,19.780327082,"Base.GC_Diff(854403376760, 500556, 0, 24611246, 697895, 498625, 19780327082, 2128, 0)"
violated,12.350970464,25796373066,0.512638139,"Base.GC_Diff(25796373066, 64874, 0, 3259631, 93155, 64412, 512638139, 55, 0)"
holds,75.574977354,172670406753,3.644699322,"Base.GC_Diff(172670406753, 324225, 0, 19223849, 576645, 324158, 3644699322, 353, 0)"
unknown,173.492048468,443248776123,11.972915703,"Base.GC_Diff(443248776123, 454005, 0, 23856867, 688737, 456947, 11972915703, 1046, 2)"
unknown,206.859142773,551054523151,13.556593294,"Base.GC_Diff(551054523151, 481798, 0, 24174834, 686029, 480411, 13556593294, 1526, 0)"
violated,0.366507502,673796586,0.018758201,"Base.GC_Diff(673796586, 2683, 0, 137680, 4639, 2097, 18758201, 2, 0)"
violated,0.325479103,591289874,0.017225201,"Base.GC_Diff(591289874, 2480, 0, 122562, 4041, 3077, 17225201, 2, 0)"
violated,0.005115898,3397713,0.0,"Base.GC_Diff(3397713, 15, 0, 8518, 408, 0, 0, 0, 0)"
violated,1.146512163,2317626560,0.040260321,"Base.GC_Diff(2317626560, 8018, 0, 415575, 12645, 7206, 40260321, 5, 0)"
violated,0.005389765,3400578,0.0,"Base.GC_Diff(3400578, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.005548172,3400785,0.0,"Base.GC_Diff(3400785, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.006250358,3399832,0.0,"Base.GC_Diff(3399832, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.006612603,3400272,0.0,"Base.GC_Diff(3400272, 15, 0, 8518, 408, 0, 0, 0, 0)"
violated,0.309325902,622139590,0.016373709,"Base.GC_Diff(622139590, 2504, 0, 128076, 4255, 3344, 16373709, 2, 0)"
violated,0.005208978,3401294,0.0,"Base.GC_Diff(3401294, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,3.51703775,7063538724,0.130440665,"Base.GC_Diff(7063538724, 22365, 0, 1115527, 32164, 22278, 130440665, 17, 0)"
unknown,268.668367929,785036482627,17.879559598,"Base.GC_Diff(785036482627, 504141, 0, 24481854, 686337, 506317, 17879559598, 1643, 2)"
violated,0.005044681,3399474,0.0,"Base.GC_Diff(3399474, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.005262972,3398131,0.0,"Base.GC_Diff(3398131, 15, 0, 8518, 408, 0, 0, 0, 0)"
violated,0.075732291,116460771,0.0,"Base.GC_Diff(116460771, 1241, 0, 39891, 1767, 0, 0, 0, 0)"
violated,0.286540656,635137890,0.011187535,"Base.GC_Diff(635137890, 2568, 0, 132832, 4444, 3188, 11187535, 2, 0)"
violated,0.305262396,627972365,0.016472429,"Base.GC_Diff(627972365, 2575, 0, 131575, 4427, 3090, 16472429, 3, 0)"
violated,0.008951283,3399511,0.0,"Base.GC_Diff(3399511, 15, 0, 8518, 408, 0, 0, 0, 0)"
violated,3.243649541,5967907673,0.188172065,"Base.GC_Diff(5967907673, 19434, 0, 936676, 26816, 19259, 188172065, 20, 0)"
unknown,313.046876323,889683308192,23.435107696,"Base.GC_Diff(889683308192, 510124, 0, 24616837, 693468, 508120, 23435107696, 2315, 0)"
violated,0.00836274,3398787,0.0,"Base.GC_Diff(3398787, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.230888434,457278252,0.018676173,"Base.GC_Diff(457278252, 2400, 0, 101437, 3111, 1944, 18676173, 1, 0)"
violated,0.00915946,3399650,0.0,"Base.GC_Diff(3399650, 15, 0, 8516, 409, 0, 0, 0, 0)"
violated,0.010221516,3401795,0.0,"Base.GC_Diff(3401795, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.012198771,3399965,0.0,"Base.GC_Diff(3399965, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.012695469,3399115,0.0,"Base.GC_Diff(3399115, 15, 0, 8517, 408, 0, 0, 0, 0)"
violated,5.005506345,8946610125,0.34183865,"Base.GC_Diff(8946610125, 27672, 0, 1307281, 36766, 28015, 341838650, 20, 0)"
violated,0.006635815,3401375,0.0,"Base.GC_Diff(3401375, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.007894565,3400028,0.0,"Base.GC_Diff(3400028, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,18.696858003,44279752011,0.881492079,"Base.GC_Diff(44279752011, 93457, 0, 4643239, 132325, 93505, 881492079, 96, 0)"
violated,0.0069747,3397674,0.0,"Base.GC_Diff(3397674, 15, 0, 8518, 408, 0, 0, 0, 0)"
violated,0.009052121,3399235,0.0,"Base.GC_Diff(3399235, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.008026495,3397648,0.0,"Base.GC_Diff(3397648, 15, 0, 8518, 408, 0, 0, 0, 0)"
violated,0.010613437,3400141,0.0,"Base.GC_Diff(3400141, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.008450194,3400483,0.0,"Base.GC_Diff(3400483, 15, 0, 8517, 409, 0, 0, 0, 0)"
violated,0.008537136,3399580,0.0,"Base.GC_Diff(3399580, 15, 0, 8518, 408, 0, 0, 0, 0)"
unknown,268.990077118,785287086803,16.309091735,"Base.GC_Diff(785287086803, 497741, 0, 24464973, 687541, 496556, 16309091735, 1498, 0)"
unknown,292.479076931,795468450737,22.998254609,"Base.GC_Diff(795468450737, 503468, 0, 24498303, 689903, 504989, 22998254609, 2127, 2)"
unknown,225.906480293,623043430744,14.54255364,"Base.GC_Diff(623043430744, 484932, 0, 24261080, 684738, 483964, 14542553640, 1304, 0)"
holds,5.338625023,10315336077,0.189560647,"Base.GC_Diff(10315336077, 27855, 0, 1712116, 52866, 26936, 189560647, 20, 0)"
unknown,150.88292644,404918748760,10.2858882,"Base.GC_Diff(404918748760, 410673, 0, 23410208, 693490, 414331, 10285888200, 952, 2)"
holds,0.063525167,50820794,0.0,"Base.GC_Diff(50820794, 1039, 0, 33645, 2190, 0, 0, 0, 0)"
violated,0.007819855,3385265,0.0,"Base.GC_Diff(3385265, 15, 0, 8518, 407, 0, 0, 0, 0)"
violated,0.008257138,3384723,0.0,"Base.GC_Diff(3384723, 15, 0, 8518, 407, 0, 0, 0, 0)"
violated,0.008563407,3387271,0.0,"Base.GC_Diff(3387271, 15, 0, 8518, 407, 0, 0, 0, 0)"
unknown,261.597872754,704387645282,17.77847122,"Base.GC_Diff(704387645282, 485277, 0, 24349529, 688252, 484657, 17778471220, 1772, 0)"
unknown,237.661962945,671413739066,14.506025346,"Base.GC_Diff(671413739066, 479094, 0, 24291865, 687109, 478008, 14506025346, 1323, 0)"
unknown,119.609467414,305383106457,5.789446121,"Base.GC_Diff(305383106457, 403342, 0, 23331824, 690406, 403128, 5789446121, 527, 0)"
unknown,109.102402961,269708926848,7.590633939,"Base.GC_Diff(269708926848, 397586, 0, 23379000, 681285, 400640, 7590633939, 780, 2)"
holds,9.065298908,17445895074,0.387628963,"Base.GC_Diff(17445895074, 45814, 0, 2789975, 84471, 45769, 387628963, 51, 0)"
holds,0.031752066,28136273,0.0,"Base.GC_Diff(28136273, 549, 0, 26244, 1932, 0, 0, 0, 0)"
holds,5.307367129,10226587320,0.225835708,"Base.GC_Diff(10226587320, 27158, 0, 1688696, 52150, 27328, 225835708, 29, 0)"
holds,0.020519906,11717376,0.0,"Base.GC_Diff(11717376, 85, 0, 21946, 1528, 0, 0, 0, 0)"
holds,0.018606995,9929862,0.0,"Base.GC_Diff(9929862, 55, 0, 16496, 1046, 0, 0, 0, 0)"
unknown,287.285610324,785646450422,18.987807356,"Base.GC_Diff(785646450422, 503583, 0, 24544843, 677480, 502619, 18987807356, 1867, 0)"
unknown,244.827774315,677157805436,14.199681597,"Base.GC_Diff(677157805436, 480966, 0, 24300222, 691097, 479918, 14199681597, 1282, 0)"
unknown,117.014083072,290494232147,7.464379811,"Base.GC_Diff(290494232147, 394257, 0, 23136140, 691830, 396840, 7464379811, 694, 2)"
holds,12.262395719,23009716466,0.729593146,"Base.GC_Diff(23009716466, 59981, 0, 3618394, 109667, 59529, 729593146, 67, 0)"
unknown,257.650250725,756494745819,16.534256892,"Base.GC_Diff(756494745819, 488291, 0, 24533439, 695043, 487331, 16534256892, 1827, 0)"
unknown,249.039005103,712348288635,13.959682836,"Base.GC_Diff(712348288635, 480173, 0, 24411632, 693607, 478945, 13959682836, 1358, 0)"
holds,3.524553342,6911883138,0.124988321,"Base.GC_Diff(6911883138, 18249, 0, 1169377, 35124, 17496, 124988321, 12, 0)"
unknown,245.347414372,676109492421,16.418896246,"Base.GC_Diff(676109492421, 484569, 0, 24415855, 684451, 488088, 16418896246, 1407, 2)"
holds,42.922504078,94443861543,2.128447576,"Base.GC_Diff(94443861543, 179208, 0, 10862958, 324998, 178636, 2128447576, 248, 0)"
unknown,221.219511237,593403698657,13.281620085,"Base.GC_Diff(593403698657, 472350, 0, 24213120, 683097, 471686, 13281620085, 1375, 0)"
unknown,302.624768875,883815588416,17.521968641,"Base.GC_Diff(883815588416, 508706, 0, 24619765, 691390, 506993, 17521968641, 1600, 0)"
unknown,124.919246061,314609703323,5.385761787,"Base.GC_Diff(314609703323, 414174, 0, 23410573, 687446, 414243, 5385761787, 496, 0)"
holds,1.536744335,2659106780,0.065095013,"Base.GC_Diff(2659106780, 6999, 0, 488494, 15270, 6216, 65095013, 4, 0)"
holds,0.066884473,122328258,0.0,"Base.GC_Diff(122328258, 2287, 0, 54737, 2908, 0, 0, 0, 0)"
holds,0.539163521,1130126995,0.032791858,"Base.GC_Diff(1130126995, 5259, 0, 236897, 5640, 7996, 32791858, 2, 0)"
holds,24.277552634,51738680557,1.034199778,"Base.GC_Diff(51738680557, 114592, 0, 6887992, 205375, 114416, 1034199778, 79, 0)"
unknown,209.187523568,578975311315,15.673419272,"Base.GC_Diff(578975311315, 468617, 0, 24225018, 692293, 471225, 15673419272, 1439, 2)"
holds,0.091082958,132528413,0.0,"Base.GC_Diff(132528413, 1805, 0, 50888, 2758, 0, 0, 0, 0)"
unknown,251.214170833,728187436503,14.742586923,"Base.GC_Diff(728187436503, 485954, 0, 24370358, 691135, 486247, 14742586923, 1483, 0)"
unknown,235.106112529,647983130164,12.442598798,"Base.GC_Diff(647983130164, 482675, 0, 24347288, 683572, 481777, 12442598798, 1091, 0)"
holds,5.834044819,11588117147,0.182994915,"Base.GC_Diff(11588117147, 31454, 0, 1942117, 57703, 30858, 182994915, 18, 0)"
holds,0.91482548,1854263610,0.026645656,"Base.GC_Diff(1854263610, 5846, 0, 353234, 8975, 5762, 26645656, 3, 0)"
holds,10.046338128,18881611443,0.351897699,"Base.GC_Diff(18881611443, 49171, 0, 3026484, 91640, 48881, 351897699, 29, 0)"
unknown,152.179682581,408450459176,10.12950592,"Base.GC_Diff(408450459176, 425421, 0, 23695452, 689943, 429526, 10129505920, 877, 2)"
holds,0.072209457,61807437,0.0,"Base.GC_Diff(61807437, 1201, 0, 38847, 2681, 0, 0, 0, 0)"
holds,0.208705563,446205539,0.009898109,"Base.GC_Diff(446205539, 2936, 0, 111078, 3471, 2810, 9898109, 1, 0)"
holds,0.005299695,3375436,0.0,"Base.GC_Diff(3375436, 15, 0, 8521, 407, 0, 0, 0, 0)"
unknown,187.525794717,501960280427,10.998272204,"Base.GC_Diff(501960280427, 441184, 0, 23760262, 687935, 441687, 10998272204, 1144, 0)"
unknown,228.823878317,596298798265,14.085531786,"Base.GC_Diff(596298798265, 457979, 0, 23966094, 687901, 457281, 14085531786, 1157, 0)"
unknown,151.900235152,393512361520,8.042492871,"Base.GC_Diff(393512361520, 423157, 0, 23559045, 689589, 422729, 8042492871, 686, 0)"
holds,6.050899819,11335779093,0.234382772,"Base.GC_Diff(11335779093, 30880, 0, 1891868, 56382, 29888, 234382772, 19, 0)"
holds,7.8268876,13617721304,0.501592542,"Base.GC_Diff(13617721304, 37964, 0, 2241717, 67225, 37853, 501592542, 23, 0)"
holds,4.654959272,9229813042,0.183292796,"Base.GC_Diff(9229813042, 26185, 0, 1538987, 46343, 26290, 183292796, 16, 0)"
violated,0.006667122,3384265,0.0,"Base.GC_Diff(3384265, 15, 0, 8518, 407, 0, 0, 0, 0)"
violated,0.009084126,3379643,0.0,"Base.GC_Diff(3379643, 15, 0, 8520, 405, 0, 0, 0, 0)"
violated,0.007535442,3379887,0.0,"Base.GC_Diff(3379887, 15, 0, 8520, 405, 0, 0, 0, 0)"
unknown,125.465109782,305933203546,5.962673458,"Base.GC_Diff(305933203546, 423635, 0, 23651684, 686712, 424850, 5962673458, 496, 0)"
unknown,236.067122553,645990940082,14.63419558,"Base.GC_Diff(645990940082, 463074, 0, 24046668, 685387, 465424, 14634195580, 1066, 2)"
unknown,161.107293082,409448189937,8.967401184,"Base.GC_Diff(409448189937, 439555, 0, 23839843, 684929, 438845, 8967401184, 978, 0)"
holds,1.214278041,2185379016,0.036606163,"Base.GC_Diff(2185379016, 6387, 0, 409812, 11465, 5673, 36606163, 5, 0)"
holds,23.027412707,46170670154,1.033350742,"Base.GC_Diff(46170670154, 107268, 0, 6481796, 192611, 107125, 1033350742, 101, 0)"
holds,2.247394981,4707926937,0.073467417,"Base.GC_Diff(4707926937, 12879, 0, 824164, 26237, 12601, 73467417, 10, 0)"
holds,0.099602295,184024016,0.008090962,"Base.GC_Diff(184024016, 2167, 0, 61679, 2668, 2156, 8090962, 1, 0)"
holds,0.023742635,32706952,0.0,"Base.GC_Diff(32706952, 697, 0, 26949, 1994, 0, 0, 0, 0)"
holds,0.030090513,25202718,0.0,"Base.GC_Diff(25202718, 115, 0, 28810, 2607, 0, 0, 0, 0)"
unknown,248.005129842,677529935150,14.642480551,"Base.GC_Diff(677529935150, 472776, 0, 24102635, 679077, 473675, 14642480551, 1311, 0)"
unknown,180.757084147,504919321012,9.281297163,"Base.GC_Diff(504919321012, 464100, 0, 24118030, 683126, 463265, 9281297163, 857, 0)"
holds,3.117160172,5557425827,0.089279536,"Base.GC_Diff(5557425827, 15639, 0, 961994, 29421, 15093, 89279536, 9, 0)"
holds,5.0104147,9088813962,0.182690896,"Base.GC_Diff(9088813962, 25083, 0, 1528819, 45780, 25598, 182690896, 15, 0)"
