value,time,bytes,gctime,gcstats
violated,0.444812509,24106787,0.0,"Base.GC_Diff(24106787, 47, 0, 404330, 348, 0, 0, 0, 0)"
unknown,118.39529827,13403079733,6.138433582,"Base.GC_Diff(13403079733, 11767, 0, 281776339, 40924, 11451, 6138433582, 29, 0)"
violated,0.461957867,24110567,0.0,"Base.GC_Diff(24110567, 47, 0, 404330, 350, 0, 0, 0, 0)"
violated,0.455596937,24111236,0.0,"Base.GC_Diff(24111236, 47, 0, 404329, 350, 0, 0, 0, 0)"
unknown,114.847813584,13092669907,6.060911028,"Base.GC_Diff(13092669907, 10654, 0, 280902396, 40557, 10911, 6060911028, 29, 0)"
violated,0.434930106,24110690,0.0,"Base.GC_Diff(24110690, 47, 0, 404330, 350, 0, 0, 0, 0)"
violated,0.422660078,24108075,0.0,"Base.GC_Diff(24108075, 47, 0, 404329, 350, 0, 0, 0, 0)"
violated,0.441453353,24107752,0.0,"Base.GC_Diff(24107752, 47, 0, 404331, 348, 0, 0, 0, 0)"
violated,0.442295249,24108709,0.0,"Base.GC_Diff(24108709, 47, 0, 404333, 348, 0, 0, 0, 0)"
violated,0.461611831,24107195,0.0,"Base.GC_Diff(24107195, 47, 0, 404330, 348, 0, 0, 0, 0)"
violated,0.45568194,24107636,0.0,"Base.GC_Diff(24107636, 47, 0, 404331, 348, 0, 0, 0, 0)"
unknown,114.828187451,13488007315,6.10770123,"Base.GC_Diff(13488007315, 12088, 0, 282212507, 40969, 12191, 6107701230, 30, 0)"
unknown,115.883914952,13489230097,6.265065775,"Base.GC_Diff(13489230097, 12116, 0, 282341990, 40942, 12260, 6265065775, 30, 0)"
unknown,113.80500168,13338404632,6.039055209,"Base.GC_Diff(13338404632, 11647, 0, 281946466, 40954, 11573, 6039055209, 29, 0)"
holds,96.724224655,11483997445,5.266915136,"Base.GC_Diff(11483997445, 5696, 0, 258382130, 37463, 6077, 5266915136, 25, 0)"
unknown,115.895490354,12752180648,5.854466988,"Base.GC_Diff(12752180648, 9341, 0, 281656703, 41138, 8872, 5854466988, 27, 0)"
holds,20.162704168,1814682066,0.892003307,"Base.GC_Diff(1814682066, 1067, 0, 40625355, 2858, 1417, 892003307, 4, 0)"
violated,0.468168428,24116153,0.0,"Base.GC_Diff(24116153, 47, 0, 404545, 352, 0, 0, 0, 0)"
violated,0.432144263,24118459,0.0,"Base.GC_Diff(24118459, 47, 0, 404541, 353, 0, 0, 0, 0)"
violated,0.432595111,24118223,0.0,"Base.GC_Diff(24118223, 47, 0, 404542, 352, 0, 0, 0, 0)"
unknown,114.816627547,12869301378,6.05011946,"Base.GC_Diff(12869301378, 9798, 0, 282105068, 41072, 9731, 6050119460, 28, 0)"
unknown,103.36568634,13064967994,5.860054952,"Base.GC_Diff(13064967994, 10395, 0, 281943880, 41054, 10300, 5860054952, 28, 0)"
unknown,102.959791857,13138765161,5.850008896,"Base.GC_Diff(13138765161, 10615, 0, 282422725, 40993, 10724, 5850008896, 29, 0)"
holds,14.717116823,1335719304,0.703752426,"Base.GC_Diff(1335719304, 1022, 0, 29630127, 1620, 1338, 703752426, 3, 0)"
holds,12.745497782,1226271626,0.471299553,"Base.GC_Diff(1226271626, 754, 0, 27116092, 1881, 643, 471299553, 2, 0)"
holds,8.997334648,735481593,0.532244216,"Base.GC_Diff(735481593, 649, 0, 16112235, 1395, 664, 532244216, 2, 0)"
holds,49.424545076,5469285568,2.691741262,"Base.GC_Diff(5469285568, 2138, 0, 123445532, 12774, 2266, 2691741262, 12, 0)"
holds,33.094629202,3302207224,1.541995337,"Base.GC_Diff(3302207224, 1395, 0, 74138751, 7555, 1331, 1541995337, 7, 0)"
holds,3.132223258,179096094,0.0,"Base.GC_Diff(179096094, 152, 0, 3556298, 749, 0, 0, 0, 0)"
unknown,112.172656289,12636020134,5.828900485,"Base.GC_Diff(12636020134, 9704, 0, 277293236, 40254, 9466, 5828900485, 27, 0)"
unknown,105.554723347,13109198524,5.745323842,"Base.GC_Diff(13109198524, 10678, 0, 282025284, 40981, 10709, 5745323842, 28, 0)"
unknown,99.120769044,12870083635,5.649865646,"Base.GC_Diff(12870083635, 9598, 0, 282358873, 41076, 9531, 5649865646, 28, 0)"
holds,17.028917562,1850991674,0.904171505,"Base.GC_Diff(1850991674, 1050, 0, 41460788, 1807, 1460, 904171505, 4, 0)"
unknown,113.586369809,12710603179,5.902300863,"Base.GC_Diff(12710603179, 9507, 0, 278724493, 40262, 9086, 5902300863, 27, 0)"
unknown,113.647165372,13120802411,5.949580677,"Base.GC_Diff(13120802411, 10538, 0, 282041841, 40974, 10605, 5949580677, 28, 0)"
holds,12.598851651,1005963098,0.438319755,"Base.GC_Diff(1005963098, 727, 0, 22084544, 1461, 1050, 438319755, 2, 0)"
unknown,111.772527679,12900900597,5.838317009,"Base.GC_Diff(12900900597, 9498, 0, 281873196, 40993, 9189, 5838317009, 27, 0)"
unknown,114.51741687,13474616815,6.019027104,"Base.GC_Diff(13474616815, 11011, 0, 289177995, 41906, 10937, 6019027104, 29, 0)"
unknown,106.445926359,12869385569,6.033439368,"Base.GC_Diff(12869385569, 9494, 0, 281818788, 40987, 9596, 6033439368, 27, 0)"
unknown,103.639003312,13195731968,5.990057134,"Base.GC_Diff(13195731968, 11062, 0, 282254655, 40958, 10930, 5990057134, 28, 0)"
unknown,104.614965619,12790940043,6.054875077,"Base.GC_Diff(12790940043, 8791, 0, 282022384, 41019, 9026, 6054875077, 27, 0)"
holds,8.603919155,695276900,0.227359485,"Base.GC_Diff(695276900, 596, 0, 14989969, 1385, 629, 227359485, 1, 0)"
holds,5.054892672,341261082,0.251808749,"Base.GC_Diff(341261082, 363, 0, 7195978, 1029, 390, 251808749, 1, 0)"
holds,21.508353211,2223161931,0.918470702,"Base.GC_Diff(2223161931, 1355, 0, 49776583, 2843, 1155, 918470702, 4, 0)"
unknown,112.213544874,12538257269,6.010710758,"Base.GC_Diff(12538257269, 6993, 0, 280472989, 41140, 7366, 6010710758, 27, 0)"
unknown,112.026879449,12773425331,5.747133825,"Base.GC_Diff(12773425331, 8921, 0, 281631010, 41068, 8572, 5747133825, 26, 0)"
unknown,104.812380102,12747535205,5.85777356,"Base.GC_Diff(12747535205, 6772, 0, 285033929, 40902, 7108, 5857773560, 27, 0)"
unknown,115.855331259,13258511527,5.890761983,"Base.GC_Diff(13258511527, 11288, 0, 281739004, 40983, 10825, 5890761983, 27, 0)"
unknown,116.966980294,12676068420,6.067096393,"Base.GC_Diff(12676068420, 8750, 0, 282418106, 41120, 8797, 6067096393, 27, 0)"
holds,85.349322965,9732867651,4.363327825,"Base.GC_Diff(9732867651, 3745, 0, 219964607, 27038, 4116, 4363327825, 20, 0)"
holds,10.867480405,923263234,0.47503738,"Base.GC_Diff(923263234, 820, 0, 20244166, 1544, 801, 475037380, 2, 0)"
holds,16.022737817,1665255867,0.65453022,"Base.GC_Diff(1665255867, 1003, 0, 37097364, 1594, 948, 654530220, 3, 0)"
unknown,103.023210859,12607085864,5.710510588,"Base.GC_Diff(12607085864, 7341, 0, 281932103, 41782, 7027, 5710510588, 26, 0)"
holds,6.550543542,466737381,0.245105095,"Base.GC_Diff(466737381, 505, 0, 9946821, 1191, 692, 245105095, 1, 0)"
holds,36.310234549,4365096091,1.965876759,"Base.GC_Diff(4365096091, 1806, 0, 98131020, 11376, 1942, 1965876759, 9, 0)"
holds,12.216951694,1154228980,0.460369995,"Base.GC_Diff(1154228980, 908, 0, 25493944, 1500, 776, 460369995, 2, 0)"
unknown,97.720272291,13471323867,5.578974237,"Base.GC_Diff(13471323867, 12093, 0, 282334452, 40957, 11800, 5578974237, 28, 0)"
unknown,96.343061467,13429350201,5.246457965,"Base.GC_Diff(13429350201, 12129, 0, 281703790, 40959, 12109, 5246457965, 27, 0)"
unknown,99.343314385,13468765392,5.69965786,"Base.GC_Diff(13468765392, 12114, 0, 282404100, 40943, 12123, 5699657860, 28, 0)"
holds,98.700655038,12354855693,5.241244028,"Base.GC_Diff(12354855693, 6088, 0, 278929420, 39056, 6571, 5241244028, 25, 0)"
unknown,103.77749224,13065087328,6.202871786,"Base.GC_Diff(13065087328, 10923, 0, 282353355, 40976, 10449, 6202871786, 27, 0)"
holds,59.69503701,7116629626,3.066092839,"Base.GC_Diff(7116629626, 2823, 0, 160702308, 22999, 3187, 3066092839, 14, 0)"
violated,0.384166943,24116177,0.0,"Base.GC_Diff(24116177, 47, 0, 404540, 353, 0, 0, 0, 0)"
violated,0.359603278,24120979,0.0,"Base.GC_Diff(24120979, 47, 0, 404648, 354, 0, 0, 0, 0)"
violated,0.363623349,24098487,0.0,"Base.GC_Diff(24098487, 47, 0, 403923, 356, 0, 0, 0, 0)"
holds,59.39940379,7151670490,3.394489165,"Base.GC_Diff(7151670490, 2432, 0, 163169823, 22371, 2609, 3394489165, 15, 0)"
unknown,99.598421049,13458178738,5.478743307,"Base.GC_Diff(13458178738, 12102, 0, 281842413, 40968, 11665, 5478743307, 27, 0)"
holds,103.219954117,12792611473,5.870185105,"Base.GC_Diff(12792611473, 6916, 0, 287599018, 40883, 7438, 5870185105, 27, 0)"
holds,8.869118913,595450704,0.310547824,"Base.GC_Diff(595450704, 572, 0, 12627916, 1464, 491, 310547824, 1, 0)"
holds,23.918590533,2433350546,1.378396737,"Base.GC_Diff(2433350546, 1327, 0, 54820076, 3654, 1413, 1378396737, 5, 0)"
unknown,102.243685684,12434739441,5.521304261,"Base.GC_Diff(12434739441, 7901, 0, 277339988, 39972, 7831, 5521304261, 25, 0)"
holds,8.530139154,720009448,0.267872355,"Base.GC_Diff(720009448, 605, 0, 15645533, 1279, 424, 267872355, 1, 0)"
holds,20.388687368,2180136416,0.951902246,"Base.GC_Diff(2180136416, 1174, 0, 48751321, 3126, 1194, 951902246, 4, 0)"
holds,3.744243978,253823574,0.23994182,"Base.GC_Diff(253823574, 244, 0, 5358181, 844, 231, 239941820, 1, 0)"
unknown,98.357073398,13393594798,5.515997843,"Base.GC_Diff(13393594798, 11980, 0, 281823860, 40977, 11686, 5515997843, 27, 0)"
unknown,117.371399511,12829828212,6.194502756,"Base.GC_Diff(12829828212, 8300, 0, 286077417, 40997, 8558, 6194502756, 26, 0)"
holds,14.810818528,1344550507,0.860425048,"Base.GC_Diff(1344550507, 892, 0, 30075222, 1456, 1095, 860425048, 3, 0)"
holds,15.711458526,1577045682,0.693958593,"Base.GC_Diff(1577045682, 888, 0, 35256153, 2237, 906, 693958593, 3, 0)"
holds,20.909429261,2291857555,1.124272741,"Base.GC_Diff(2291857555, 1329, 0, 51825306, 1783, 1363, 1124272741, 5, 0)"
unknown,100.036610153,12369142931,5.739078969,"Base.GC_Diff(12369142931, 7407, 0, 276670088, 40207, 7034, 5739078969, 25, 0)"
holds,15.815170433,1544071938,0.694314999,"Base.GC_Diff(1544071938, 1137, 0, 34324344, 1638, 1420, 694314999, 3, 0)"
holds,26.611813021,2967220333,1.369536651,"Base.GC_Diff(2967220333, 1409, 0, 66547934, 5915, 1460, 1369536651, 6, 0)"
holds,85.491678579,9012033959,4.325134354,"Base.GC_Diff(9012033959, 4253, 0, 202682574, 27526, 4212, 4325134354, 18, 0)"
unknown,88.943396821,12522767321,5.08950647,"Base.GC_Diff(12522767321, 9204, 0, 275356268, 39489, 9098, 5089506470, 25, 0)"
unknown,90.45828917,12358773352,5.506467377,"Base.GC_Diff(12358773352, 8007, 0, 276632377, 39816, 8080, 5506467377, 25, 0)"
unknown,107.039594163,12701940787,5.827639951,"Base.GC_Diff(12701940787, 10182, 0, 276245943, 39521, 9810, 5827639951, 25, 0)"
holds,28.473228799,3229309052,1.541500499,"Base.GC_Diff(3229309052, 1477, 0, 73109412, 4873, 1911, 1541500499, 7, 0)"
holds,36.552322794,4105007762,2.009405882,"Base.GC_Diff(4105007762, 1646, 0, 92934759, 8945, 1566, 2009405882, 8, 0)"
holds,7.979306052,619821187,0.241387325,"Base.GC_Diff(619821187, 567, 0, 13419238, 1262, 417, 241387325, 1, 0)"
holds,28.268173568,3079775309,1.459977538,"Base.GC_Diff(3079775309, 1539, 0, 69288046, 4597, 1631, 1459977538, 6, 0)"
holds,13.84999262,1280329019,0.803108201,"Base.GC_Diff(1280329019, 916, 0, 28599401, 1459, 1001, 803108201, 3, 0)"
holds,20.122704297,2047180141,0.964822307,"Base.GC_Diff(2047180141, 1248, 0, 46035109, 1953, 1253, 964822307, 4, 0)"
unknown,103.032890901,12753535423,5.54587891,"Base.GC_Diff(12753535423, 10274, 0, 278277307, 40015, 9862, 5545878910, 25, 0)"
holds,13.197452324,1128617276,0.542685425,"Base.GC_Diff(1128617276, 937, 0, 25091136, 1487, 1129, 542685425, 2, 0)"
holds,22.263524712,2347775307,1.200452771,"Base.GC_Diff(2347775307, 1275, 0, 53055936, 2864, 1469, 1200452771, 5, 0)"
holds,11.42790715,898577338,0.523573384,"Base.GC_Diff(898577338, 713, 0, 19782957, 1367, 758, 523573384, 2, 0)"
holds,38.937116982,3564604835,1.974277187,"Base.GC_Diff(3564604835, 1599, 0, 80491079, 5903, 1604, 1974277187, 7, 0)"
unknown,105.766212654,12589419408,5.981795882,"Base.GC_Diff(12589419408, 7408, 0, 281754157, 41382, 7343, 5981795882, 25, 0)"
holds,7.55657319,542580845,0.285621769,"Base.GC_Diff(542580845, 491, 0, 11731586, 1213, 380, 285621769, 1, 0)"
holds,32.376034005,3271972483,1.446131293,"Base.GC_Diff(3271972483, 1510, 0, 73565995, 5862, 1595, 1446131293, 6, 0)"
holds,20.543917399,1843281532,1.041879749,"Base.GC_Diff(1843281532, 1200, 0, 41334095, 1712, 1138, 1041879749, 4, 0)"
unknown,111.326890513,12907287517,6.008734794,"Base.GC_Diff(12907287517, 9754, 0, 281994470, 41423, 9543, 6008734794, 25, 0)"
unknown,104.932667532,13356251939,5.657595569,"Base.GC_Diff(13356251939, 11253, 0, 281922491, 41334, 11151, 5657595569, 26, 0)"
unknown,100.590796774,13445347026,5.781927258,"Base.GC_Diff(13445347026, 11987, 0, 282146606, 40970, 11928, 5781927258, 26, 0)"
unknown,99.390033264,13452009031,5.727134368,"Base.GC_Diff(13452009031, 12062, 0, 282030315, 41019, 12350, 5727134368, 26, 0)"
unknown,99.211898357,13260527059,5.474710397,"Base.GC_Diff(13260527059, 11244, 0, 281499470, 41357, 10976, 5474710397, 25, 0)"
unknown,102.355644519,13182434042,5.622150461,"Base.GC_Diff(13182434042, 10754, 0, 281570111, 41349, 10818, 5622150461, 25, 0)"
