value,time
safe,6.896470308303833
safe,0.39225101470947266
safe,0.3832252025604248
safe,0.3684229850769043
safe,0.27669405937194824
safe,0.32415318489074707
safe,0.27857136726379395
safe,0.23104286193847656
safe,0.1877901554107666
safe,0.3237135410308838
safe,0.4200115203857422
safe,0.3319430351257324
safe,0.39516353607177734
safe,0.6600902080535889
safe,0.47618556022644043
safe,0.7325313091278076
safe,0.7940418720245361
safe,0.8542397022247314
safe,1.330129861831665
safe,5.079476833343506
safe,1.6430294513702393
safe,0.372114896774292
safe,0.49813175201416016
safe,0.5998764038085938
safe,0.6482117176055908
safe,0.6474106311798096
safe,1.310298204421997
safe,0.4906275272369385
safe,0.3246922492980957
safe,0.36805057525634766
safe,0.37158751487731934
safe,0.46355366706848145
safe,0.7651982307434082
safe,0.9647188186645508
safe,0.818824052810669
safe,1.0068604946136475
safe,0.42108654975891113
safe,0.384598970413208
safe,2.6002066135406494
safe,5.479797840118408
safe,0.6417567729949951
safe,0.6118543148040771
safe,0.6203804016113281
safe,0.9248485565185547
safe,0.6791665554046631
safe,2.1414546966552734
unsafe,0.26259684562683105
unsafe,1.9078009128570557
unsafe,0.16408109664916992
unsafe,3.411266803741455
unsafe,1.6733405590057373
safe,0.754802942276001
safe,0.7292368412017822
safe,0.928546667098999
unsafe,7.342911243438721
unsafe,0.6383328437805176
unsafe,0.18404078483581543
unsafe,0.1536412239074707
unsafe,0.14505267143249512
unsafe,0.1488018035888672
unsafe,0.14863014221191406
unsafe,0.14614033699035645
unsafe,0.1544935703277588
unsafe,0.1489114761352539
unsafe,0.1519789695739746
safe,68.99157738685608
unsafe,0.18700122833251953
unsafe,0.14632177352905273
unsafe,0.14371204376220703
unsafe,0.19223475456237793
unsafe,0.1477653980255127
unsafe,0.14719414710998535
unsafe,0.1563856601715088
safe,62.34506034851074
unsafe,0.19479680061340332
unsafe,0.14714336395263672
unsafe,0.14652490615844727
unsafe,0.14667081832885742
unsafe,0.14943718910217285
unsafe,0.1496109962463379
unsafe,0.14943552017211914
unsafe,0.14609098434448242
unsafe,0.1455237865447998
unknown,116.87397313117981
unsafe,0.1823866367340088
unsafe,0.14697909355163574
unsafe,0.1483299732208252
unsafe,0.14678454399108887
unsafe,0.1453239917755127
unsafe,0.1457977294921875
safe,8.793909788131714
safe,0.5812585353851318
safe,0.9245469570159912
safe,0.18190979957580566
safe,0.16621685028076172
safe,0.14281272888183594
unsafe,0.16684675216674805
unsafe,0.17239737510681152
unsafe,0.16845965385437012
safe,0.4408836364746094
safe,0.3592090606689453
safe,0.2676844596862793
safe,0.14350390434265137
safe,0.16254854202270508
safe,0.1383192539215088
safe,0.1359553337097168
safe,0.13631772994995117
safe,0.13565921783447266
safe,0.1607646942138672
safe,0.27904605865478516
safe,0.19241929054260254
safe,0.2502787113189697
safe,0.1869359016418457
safe,0.18843722343444824
safe,0.11396527290344238
safe,0.13643884658813477
safe,0.13756871223449707
safe,0.5070090293884277
safe,0.5077016353607178
safe,0.5131158828735352
safe,0.1402449607849121
safe,0.11226344108581543
safe,0.1820688247680664
safe,0.13649892807006836
safe,0.11557722091674805
safe,0.13756752014160156
safe,0.5374186038970947
safe,0.4857292175292969
safe,0.14923548698425293
safe,0.13929104804992676
safe,0.138413667678833
safe,0.13704442977905273
safe,0.11271190643310547
safe,0.13719391822814941
safe,0.13763213157653809
safe,1.303743600845337
safe,0.6202301979064941
safe,0.46242594718933105
safe,0.1392834186553955
safe,0.13920807838439941
safe,0.13783693313598633
unsafe,0.14363455772399902
unsafe,0.1445765495300293
unsafe,0.14382457733154297
safe,0.13892579078674316
safe,0.13826632499694824
safe,0.13778257369995117
safe,0.13859152793884277
safe,0.13939237594604492
safe,0.13767051696777344
safe,0.13739752769470215
safe,0.13644051551818848
safe,0.11341142654418945
safe,0.13846611976623535
safe,0.1852102279663086
safe,0.11465287208557129
safe,0.14014673233032227
safe,0.1424250602722168
safe,0.13759374618530273
safe,0.1427154541015625
safe,0.18946290016174316
safe,0.13906407356262207
safe,0.11824846267700195
safe,0.13756275177001953
safe,0.14254045486450195
safe,0.13809418678283691
safe,0.1417524814605713
safe,0.14328646659851074
safe,0.13853096961975098
safe,0.1401653289794922
safe,0.14361810684204102
safe,0.13904523849487305
safe,0.1436140537261963
safe,0.13886213302612305
safe,0.14626312255859375
safe,0.14119577407836914
safe,0.12887907028198242
safe,0.11514067649841309
safe,0.13724088668823242
safe,0.14171051979064941
safe,13.70786166191101
safe,8.620890855789185
unsafe,2.3708114624023438
unknown,117.1229202747345
safe,2.884209156036377
safe,2.0579421520233154
